reversal_risk_threshold,base_band,sample_count,coverage,precision_up,precision_down,balanced_precision,all_sample_accuracy,accepted_sample_accuracy,share_up_predictions,share_down_predictions,selected_t_up,selected_t_down,accepted_count,up_prediction_count,down_prediction_count,roc_auc,brier_score,log_loss,utility,downside_risk,selection_score,up_signal_count,down_signal_count,total_signal_count,signal_coverage,overall_signal_accuracy
0.2,0.03,7468.0,0.9045259775040171,0.6627187079407806,0.6648026315789474,0.6637606697598639,0.6491697911087306,0.6636565507031829,0.5499629903774982,0.45003700962250187,0.2,0.03,6755.0,3715.0,3040.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.2960632029994644,0.5515717426158417,0.5367628181882158,3715.0,3040.0,6755.0,0.9045259775040171,0.6636565507031829
0.2,0.05,7468.0,0.8835029459025174,0.6675098369870713,0.6648026315789474,0.6661562342830094,0.6491697911087306,0.666262503789027,0.5392543194907548,0.46074568050924525,0.2,0.05,6598.0,3558.0,3040.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.2937868237814676,0.5430083434538782,0.5410355610980058,3558.0,3040.0,6598.0,0.8835029459025174,0.666262503789027
0.2,0.07,7468.0,0.8320835565077664,0.6747702342128669,0.6719464977120733,0.67335836596247,0.6491697911087306,0.6734792404248471,0.5428065658191181,0.4571934341808819,0.2,0.07,6214.0,3373.0,2841.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.2886984467059453,0.5212413595455666,0.5538671124594583,3373.0,2841.0,6214.0,0.8320835565077664,0.6734792404248471
0.2,0.1,7468.0,0.7478575254418853,0.689374185136897,0.6841477949940405,0.6867609900654688,0.6491697911087306,0.687018800358102,0.5493285586392122,0.45067144136078785,0.2,0.1,5585.0,3068.0,2517.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.27972683449384034,0.4838030027542434,0.5781833368155689,3068.0,2517.0,5585.0,0.7478575254418853,0.687018800358102
0.2,0.15,7468.0,0.6009641135511515,0.7123179850452578,0.7082691319979456,0.7102935585216017,0.6491697911087306,0.7105614973262032,0.5661764705882353,0.4338235294117647,0.2,0.15,4488.0,2541.0,1947.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.2530798071772898,0.41706372796843755,0.6068132762589278,2541.0,1947.0,4488.0,0.6009641135511515,0.7105614973262032
0.2,0.2,7468.0,0.4619710765934655,0.74269889224572,0.73224043715847,0.7374696647020951,0.6491697911087306,0.7382608695652174,0.5756521739130435,0.42434782608695654,0.2,0.2,3450.0,1986.0,1464.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.2201392608462775,0.3477296476770337,0.6330759034120085,1986.0,1464.0,3450.0,0.4619710765934655,0.7382608695652174
0.2,0.5,7468.0,0.07217461167648634,0.7623456790123457,0.7674418604651163,0.764893769738731,0.6491697911087306,0.764378478664193,0.601113172541744,0.39888682745825604,0.2,0.5,539.0,324.0,215.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.03816282806641671,0.13040664018766382,0.2926448224683794,324.0,215.0,539.0,0.07217461167648634,0.764378478664193
0.25,0.03,7468.0,0.9045259775040171,0.6627187079407806,0.6648026315789474,0.6637606697598639,0.6491697911087306,0.6636565507031829,0.5499629903774982,0.45003700962250187,0.25,0.03,6755.0,3715.0,3040.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.2960632029994644,0.5515717426158417,0.5367628181882158,3715.0,3040.0,6755.0,0.9045259775040171,0.6636565507031829
0.25,0.05,7468.0,0.8835029459025174,0.6675098369870713,0.6648026315789474,0.6661562342830094,0.6491697911087306,0.666262503789027,0.5392543194907548,0.46074568050924525,0.25,0.05,6598.0,3558.0,3040.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.2937868237814676,0.5430083434538782,0.5410355610980058,3558.0,3040.0,6598.0,0.8835029459025174,0.666262503789027
0.25,0.07,7468.0,0.8320835565077664,0.6747702342128669,0.6719464977120733,0.67335836596247,0.6491697911087306,0.6734792404248471,0.5428065658191181,0.4571934341808819,0.25,0.07,6214.0,3373.0,2841.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.2886984467059453,0.5212413595455666,0.5538671124594583,3373.0,2841.0,6214.0,0.8320835565077664,0.6734792404248471
